date,open,low,high,close
7/15/20 12:00,13410,13375,13410,13380
7/15/20 12:30,13375,13370,13390,13380
7/15/20 13:00,13375,13355,13385,13385
7/15/20 13:30,13385,13375,13395,13385
7/15/20 14:00,13385,13370,13395,13375
7/15/20 14:30,13380,13380,13390,13385
7/15/20 15:00,13385,13325,13390,13360
7/15/20 15:30,13355,13340,13365,13365
7/15/20 16:00,13365,13345,13380,13350
7/15/20 16:30,13365,13360,13375,13370
7/15/20 17:00,13380,13375,13395,13395
7/15/20 18:30,13400,13395,13425,13405
7/15/20 19:00,13405,13390,13410,13390
7/15/20 19:30,13390,13365,13390,13365
7/15/20 20:00,13385,13370,13390,13370
7/15/20 20:30,13375,13340,13380,13360
7/15/20 21:00,13360,13355,13395,13390
7/15/20 21:30,13390,13380,13400,13395
7/15/20 22:00,13395,13390,13405,13400
7/15/20 22:30,13405,13390,13405,13395
7/15/20 23:00,13390,13385,13395,13385
7/15/20 23:30,13385,13380,13390,13385
7/16/20 0:00,13385,13385,13395,13395
7/16/20 0:30,13395,13395,13405,13400
7/16/20 1:00,13400,13395,13400,13395
7/16/20 1:30,13395,13380,13395,13385
7/16/20 2:00,13380,13370,13390,13385
7/16/20 2:30,13385,13385,13390,13385
7/16/20 3:00,13390,13320,13390,13350
7/16/20 3:30,13350,13245,13350,13285
7/16/20 4:00,13285,13280,13305,13280
7/16/20 4:30,13275,13260,13290,13280
7/16/20 5:00,13280,13265,13285,13285
7/16/20 5:30,13280,13215,13280,13255
7/16/20 6:00,13250,13210,13250,13230
7/16/20 6:30,13225,13200,13245,13235
7/16/20 7:00,13240,13235,13260,13260
7/16/20 7:30,13265,13250,13265,13265
7/16/20 8:00,13260,13245,13265,13245
7/16/20 8:30,13245,13235,13265,13255
7/16/20 9:00,13255,13240,13255,13245
7/16/20 9:30,13250,13250,13265,13250
7/16/20 10:00,13245,13235,13260,13250
7/16/20 10:30,13255,13235,13260,13250
7/16/20 11:00,13255,13250,13290,13280
7/16/20 11:30,13285,13270,13295,13290
7/16/20 12:00,13300,13285,13300,13295
7/16/20 12:30,13290,13290,13315,13300
7/16/20 13:00,13300,13290,13300,13295
7/16/20 13:30,13300,13300,13305,13300
7/16/20 14:00,13295,13295,13305,13300
7/16/20 14:30,13305,13300,13320,13315
7/16/20 15:00,13320,13300,13330,13300
7/16/20 15:30,13305,13300,13310,13305
7/16/20 16:00,13310,13300,13315,13305
7/16/20 16:30,13305,13285,13305,13290
7/16/20 17:00,13280,13265,13285,13275
7/16/20 18:30,13290,13290,13320,13320
7/16/20 19:00,13315,13310,13320,13320
7/16/20 19:30,13320,13320,13325,13320
7/16/20 20:00,13320,13315,13325,13320
7/16/20 20:30,13320,13305,13320,13310
7/16/20 21:00,13305,13295,13310,13295
7/16/20 21:30,13295,13295,13310,13310
7/16/20 22:00,13310,13295,13310,13300
